"rank","canal","n_unicos","total_views","tipo_dominante_atual"
"1","(sem canal)","8570","11157","Outros"
"2","Renato IMPERA","572","744","Outros"
"3","MOVIE TART","245","249","Outros"
"4","Alien Simulation","219","233","Outros"
"5","ShortsPodcuts","188","197","Outros"
"6","Sev7n Games OFICIAL","198","206","Outros"
"7","Nauta","178","188","Outros"
"8","mano deyvin","189","215","Outros"
"9","Fernando Ulrich","199","245","Outros"
"10","GeralPodCuts","136","154","Outros"
"11","Diogo Matheus","128","139","Outros"
"12","PinkPanthersShow","111","119","Outros"
"13","Telles","113","115","Outros"
"14","Reis Raff","105","124","Outros"
"15","Novos Clássicos Show","106","127","Outros"
"16","Krusty Recaps","98","99","Outros"
"17","Jeje Maromba","166","172","Outros"
"18","3Palavrinhas","107","273","Outros"
"19","LOUD CaioX","94","125","Outros"
"20","CheffOtto","87","88","Outros"
